Category,Quantity,References,Value,LCSC Part #,Footprint
Capacitors,2,"C1,C2",680uF,,ELEC-RAD10
Capacitors,30,"C3,C4,C6,C9,C10,C13,C14,C15,C16,C17,C18,C19,C20,C21,C31,C33,C34,C37,C38,C39,C41,C42,C46,C50,C56,C61,C62,C66,C67,C68",0402F104M500NT,C1581,CAPC1005X56N
Capacitors,1,C5,470uF,C2064,CAPAE1030X1270N
Capacitors,1,C7,0603B333K500NT,C1614,CAPC1608X90N
Capacitors,1,C8,0805YD106KAT4A,C90544,CAPC2012X152N
Capacitors,2,"C11,C12",220uF,C2063,EEHZT1E331UP
Capacitors,12,"C22,C23,C24,C26,C71,C72,C73,C74,C75,C76,C77,C78",0402B104K160CT,,CAPC1005X55N
Capacitors,2,"C32,C35",JMK316ABJ476MLHT,C395218,CAPPM3216X180N
Capacitors,4,"C36,C40,C64,C65",CC0603JRNPO9BN220,C105620,CAPC1608X87
Capacitors,6,"C43,C44,C45,C47,C48,C52",CC0603JRNPO9BN330,C107047,CAPC1608X87N
Capacitors,2,"C49,C60",TAJA106K010RNJ,C7171,CAPPM3216X180N
Capacitors,2,"C51,C57",T491A105K016AT,,CAPMP3216X180
Capacitors,1,C53,0402B102K500NT,,CAPC1005X55N
Capacitors,1,C54,CL05B103KB5NNNC,,CAPC1005X55N
Capacitors,1,C55,0402B201K500NT,,CAPC1005X56N
Capacitors,1,C58,CK1HR33MCRC54,C264238,CAPAE530X395N
Capacitors,2,"C59,C69",CL05B104KO5NNNC,,CAPC1005X55N
Capacitors,2,"C63,C70",0402YC104KAT2A,,CAPC1005X56N
Resistors,2,"R1,R2",0805W8J0512T5E,,RESC2012X50
Resistors,2,"R3,R4",RC0402FR-0727RL,,RESC1005X40N
Resistors,7,"R5,R9,R22,R23,R25,R26,R38",ERJ2RKF4701X,C400631,RESC1005X40N
Resistors,1,R6,RT0805FRE071KL,,RESC2012X50
Resistors,2,"R7,R8",RN731ETTP3300B25,C12246,RESC1005X40N
Resistors,1,R10,0402WGF1501TCE,C25867,RESC1005X40N
Resistors,4,"R11,R13,R56,R57",CR0402F10K0Q10Z,C881209,RESC1005X40N
Resistors,3,"R12,R45,R51",CR0402FF2201G,C100309,RESC1005X40N
Resistors,2,"R14,R39",RC0402FR-07470RL,C114877,RESC1005X40N
Resistors,3,"R15,R16,R40",RC0402JR-071KL,C105637,RESC1005X40N
Resistors,3,"R17,R18,R37",EXB-2HV103JV,,EXB2HV_1
Resistors,19,"R19,R20,R21,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92",YC124-JR-0722RL,,YC124JR07220RL
Resistors,1,R24,RC0402JR-071K5L,C114451,RESC1005X40N
Resistors,1,R27,RC0402FR-1320KL,,RESC1005X40N
Resistors,1,R28,RC0402FR-0727KL,,RESC1005X40N
Resistors,16,"R29,R30,R31,R32,R33,R34,R95,R96,R97,R98,R99,R100,R101,R102,R103,R104",RC0402FR-131KP,,RESC1005X40N
Resistors,2,"R41,R63",RC0402FR-104K7L,C25900,RESC1005X40N
Resistors,1,R42,CR-02FL6----1K,C279981,RESC1005X40N
Resistors,8,"R43,R44,R46,R47,R52,R53,R54,R55",RK73B1ETTP101J,C159871,RESC1005X40N
Resistors,2,"R48,R49",RC0402FR-0720KL,C93942,RESC1005X40N
Resistors,1,R50,RTT02104JTH,C102760,RESC1005X40N
Resistors,4,"R58,R59,R93,R94",YC124-JR-0733RL,,YC124JR0733RL
Resistors,1,R62,RC0402FR-1310KL,,RESC1005X40N
Resistors,5,"R64,R65,R68,R69,R76",RC0402FR-0733RL,,RESC1005X55N
Resistors,4,"R66,R67,R70,R71",RC0402FR-104K7L,,RESC1005X40N
Resistors,2,"R72,R73",0805W8F2003T5E,,RESC2013X65N
Resistors,1,R74,RC0402FR-0722RL,,RESC1005X40N
Resistors,1,R75,RC0402FR-0722RP,,RESC1005X40N
Resistors,8,"R105,R106,R107,R108,R109,R110,R111,R112",RC0402FR-0749R9L,,RESC1005X40N
Integrated Circuits,1,U1,18250275,,SW_18250275
Integrated Circuits,1,U2,SN74LVC1G08DBVR,C7666,SOT95P280X145-5N
Integrated Circuits,1,U3,MAX6816EUS+T,C41637,MAX6816EUS
Integrated Circuits,1,U4,LM2596S-5,,KTT0005B
Integrated Circuits,1,U5,LM2596S-3,,LM2596S33
Integrated Circuits,1,U6,SMD1812-260C-12V,,FUSC4632X160N
Integrated Circuits,1,U7,93LC46BT-I_SN,C16253,SOIC127P600X175-8N
Integrated Circuits,1,U8,SN74HCT04DR,C6766,SOIC127P600X175-14N
Integrated Circuits,1,U9,FT232BL,C50202054,QFP80P900X900X160-32N
Integrated Circuits,1,U10,AS6C8008-55ZIN,,SOP80P1176X120-44N
Integrated Circuits,1,U11,SST39LF040-45-4C-WH,,SOP50P1400X105-32N
Integrated Circuits,2,"U12,U18",SN74ALVC164245DGGR,,SOP50P810X120-48N
Integrated Circuits,1,U13,74LS14,,NULL
Integrated Circuits,1,U14,SN74LVC2T45DCUR,,SOP50P310X90-8N
Integrated Circuits,1,U15,Z84C0020FEC,C2613820,QFP44-10X10
Integrated Circuits,1,U16,74LVC4245APW_118,,SOP65P640X110-24N
Integrated Circuits,1,U17,74AHCT1G02GV_125,C12492,SOT95P275X110-5N
Integrated Circuits,1,U22,74LS08,,NULL
Integrated Circuits,2,"U23,U41",PCA9306DCUR,,SOP50P310X90-8N
Integrated Circuits,1,U29,"74LVC4245APW,118",C6091,SOP65P640X110-24N
Integrated Circuits,1,U30,SK12D07VG3,,SK12D07VG3
Integrated Circuits,1,U31,CH376S,,SOP28
Integrated Circuits,1,U32,AY38912,,DIL286
Integrated Circuits,1,U33,PCA9665PW,,SOP65P640X110-20N
Integrated Circuits,1,U34,TMUX1247DCKR,C2864500,SOT65P210X110-6N
Integrated Circuits,1,U35,LM4871MM/NOPB,C2860744,SOP65P490X110-8N
Integrated Circuits,1,U36,SN76489,,DIL16
Integrated Circuits,1,U37,TXS0102VDCUR,,SOP50P310X90-8N
Integrated Circuits,1,U38,SM231508-1,,SM2315081
Integrated Circuits,1,U39,74LVC138AD_118,,SOIC127P600X175-16N
Integrated Circuits,1,U40,SN74LVC08ADE4,C468253,SOIC127P600X175-14N
